,,,,,,
Connect with me on LinkedIn - https://www.linkedin.com/in/nandhini-raja-8b71b4143/,,,,,,
"Only sheet you need to get placed in super high paying companies including google, amazon, salesforce, microsoft, adobe, etc",,,,,,
Solving time - Easy Problems - 5 to 10mins,,,,,,
Solving time - Medium Problems - 15 to 20mins,,,,,,
Solving time - Hard problems - At max 45mins - 50mins,,,,,,
,,,,,,
"Imp Note: Its not necessary that you know a topic, so for every topic you have here, first understand the basics of the topic, then for every pattern, you can learn the first prob in that pattern and then try solving other probs in that pattern yourself. ",,,,,,
,,,,,,
TOPIC,Problem,Problem link,Solution Tutorial,Solution Article,Solved,Notes
Basics,,,,,,
Beginners basic math probs,,,,,,
,Find even or odd,https://practice.geeksforgeeks.org/problems/odd-or-even3618/1,Best Tutorial link - click to view,Article link-click to view,,
,Find last digit in a number,https://www.geeksforgeeks.org/problems/find-last-digit-of-ab-for-large-numbers1936/1,Best Tutorial link - click to view,Article link-click to view,,
,Count digits in a number(Solving above last digit prob wil make this easy for you),https://practice.geeksforgeeks.org/problems/count-digits5716/1,Best Tutorial link - click to view,Article link-click to view,,
,Reverse a number(Try thinking how you can use above logic in solving this),https://www.geeksforgeeks.org/problems/reverse-digit0316/1,Best Tutorial link - click to view,Article link-click to view,,
,Find power of a number,https://www.geeksforgeeks.org/problems/power-of-numbers-1587115620/1,Best Tutorial link - click to view,Article link-click to view,,
,GCD,https://practice.geeksforgeeks.org/problems/gcd-of-two-numbers3459/1,Best Tutorial link - click to view,Article link-click to view,,
,Print all divisors of a number,https://www.codingninjas.com/studio/problems/print-all-divisors-of-a-number_1164188,Best Tutorial link - click to view,Article link-click to view,,
,Prime number(Try solving by yourself),https://practice.geeksforgeeks.org/problems/prime-number2314/1,Best Tutorial link - click to view,Article link-click to view,,
,"Armstrong number(Solving power of number, will make this easy for you)",https://www.geeksforgeeks.org/problems/armstrong-numbers2727/1,Best Tutorial link - click to view,Article link-click to view,,
,Check palindrome of number(Use the techniques you learnt so far solving above probs and solve this by yourself),https://practice.geeksforgeeks.org/problems/palindrome0746/1,Best Tutorial link - click to view,Article link-click to view,,
,Square root of a number(Try to first figure out algo to solve this),https://www.geeksforgeeks.org/problems/square-root/1,Best Tutorial link - click to view,Article link-click to view,,
,Perfect number,https://practice.geeksforgeeks.org/problems/perfect-numbers3207/1,Best Tutorial link - click to view,Article link-click to view,,
Array - Data structure,"This is a huge topic and array acts as base data structure for many concepts, so lets master the basics in this section. For all the data struture moving forward, make sure to visually note down and understand how it is represented",,,,,
Basics with traversal,,,,,,
,What is an array? How is it represented?,,Best Tutorial link - click to view,Article link-click to view,,
,"Find the maximum and minimum element in array(After solving the search , you can solve all probs in this basics by yourself)",https://www.geeksforgeeks.org/problems/find-minimum-and-maximum-element-in-an-array4428/1,Best Tutorial link - click to view,Article link-click to view,,
,Find third largest element in array,https://practice.geeksforgeeks.org/problems/third-largest-element/1,Best Tutorial link - click to view,Article link-click to view,,
,Search an element in array(Understand how to traverse through the array and how to access the elements),https://www.geeksforgeeks.org/problems/search-an-element-in-an-array-1587115621/1,Best Tutorial link - click to view,Article link-click to view,,
,Find missing number in array,https://practice.geeksforgeeks.org/problems/missing-number-in-array1416/1,Best Tutorial link - click to view,Article link-click to view,,
,Find repeating number in array,,Best Tutorial link - click to view,,,
,"Sort an array of 0s , 1s and 2s (You dont need to know any sorting algo, just using basics, once solved, definitely learn the optimal algo)",https://www.geeksforgeeks.org/problems/sort-an-array-of-0s-1s-and-2s4231/1?itm_source=geeksforgeeks&itm_medium=Article&itm_campaign=bottom_sticky_on_Article,Best Tutorial link - click to view,Article link-click to view,,
,Check if two arrays are equal or not,https://www.geeksforgeeks.org/problems/check-if-two-arrays-are-equal-or-not3847/1?itm_source=geeksforgeeks&itm_medium=Article&itm_campaign=bottom_sticky_on_Article,Best Tutorial link - click to view,Article link-click to view,,
,Rotate the array by 1,https://www.geeksforgeeks.org/problems/cyclically-rotate-an-array-by-one2614/1?itm_source=geeksforgeeks&itm_medium=Article&itm_campaign=bottom_sticky_on_Article,Best Tutorial link - click to view,Article link-click to view,,
,Rotate the array by k,https://www.codingninjas.com/studio/problems/rotate-array_1230543,Best Tutorial link - click to view,Article link-click to view,,
,Array subset of another array,https://www.geeksforgeeks.org/problems/array-subset-of-another-array2317/1,Best Tutorial link - click to view,Article link-click to view,,
,Learn what is map and how its represented before moving forward,,Best Tutorial link - click to view,Article link-click to view,,
,"Count frequency of elements in array(Solve efficiently, try applying what you learnt about map)",https://practice.geeksforgeeks.org/problems/frequency-of-array-elements-1587115620/1,Best Tutorial link - click to view,Article link-click to view,,
"Two pointer(This is very imp pattern, not just for these probs but very commonly you can use this technique)","Just like search, sort, this is also imp technique to learn",,,,,
,Find pair with given sum,https://www.geeksforgeeks.org/problems/key-pair5616/1?itm_source=geeksforgeeks&itm_medium=Article&itm_campaign=bottom_sticky_on_Article,Best Tutorial link - click to view,Article link-click to view,,
,3 Sum,https://www.geeksforgeeks.org/problems/triplet-sum-in-array-1587115621/1?itm_source=geeksforgeeks&itm_medium=Article&itm_campaign=bottom_sticky_on_Article,Best Tutorial link - click to view,Article link-click to view,,
,4 Sum,https://leetcode.com/problems/4sum/,Best Tutorial link - click to view,Article link-click to view,,
,Find triplets with zero sum,https://www.geeksforgeeks.org/problems/find-triplets-with-zero-sum/1,Best Tutorial link - click to view,Article link-click to view,,
,Find count of triplets,Count the triplets | Practice | GeeksforGeeks,Best Tutorial link - click to view,Article link-click to view,,
,"Union of two arrays(Learn the brute force & optimal soln, you will learn about set datastructure, which will be super useful in many probs in brute force)",https://www.geeksforgeeks.org/problems/union-of-two-arrays3538/1,Best Tutorial link - click to view,Article link-click to view,,
,Intersection of two arrays,https://www.geeksforgeeks.org/problems/intersection-of-two-arrays2404/1?itm_source=geeksforgeeks&itm_medium=Article&itm_campaign=bottom_sticky_on_Article,Best Tutorial link - click to view,Article link-click to view,,
,"Remove duplicates from array(Quite diff from above, try to solve on own, this actually shows that not always you will have pointers at start and end)",https://www.geeksforgeeks.org/problems/remove-duplicate-elements-from-sorted-array/1?itm_source=geeksforgeeks&itm_medium=Article&itm_campaign=bottom_sticky_on_Article,Best Tutorial link - click to view,Article link-click to view,,
,kth element of 2 sorted arrays,https://www.geeksforgeeks.org/problems/k-th-element-of-two-sorted-array1317/1?itm_source=geeksforgeeks&itm_medium=Article&itm_campaign=bottom_sticky_on_Article,Best Tutorial link - click to view,Article link-click to view,,
,Length of longest subarray with sum k,https://www.geeksforgeeks.org/problems/longest-sub-array-with-sum-k0809/1?itm_source=geeksforgeeks&itm_medium=article&itm_campaign=bottom_sticky_on_article,Best Tutorial link - click to view,Article link-click to view,,
,Trapping rain water,https://www.geeksforgeeks.org/problems/trapping-rain-water-1587115621/1?itm_source=geeksforgeeks&itm_medium=Article&itm_campaign=bottom_sticky_on_Article,Best Tutorial link - click to view,Article link-click to view,,
Must Solve,,,,,,
,Majority element,https://leetcode.com/problems/majority-element/,Best Tutorial link - click to view,Article link-click to view,,
,Kadane's algo(super imp),https://practice.geeksforgeeks.org/problems/kadanes-algorithm-1587115620/1,Best Tutorial link - click to view,Article link-click to view,,
,Count inversions,https://practice.geeksforgeeks.org/problems/inversion-of-array-1587115620/1,Best Tutorial link - click to view,Article link-click to view,,
,Merge intervals,https://leetcode.com/problems/merge-intervals/,Best Tutorial link - click to view,Article link-click to view,,
,Maximum product subarray,https://practice.geeksforgeeks.org/problems/maximum-product-subarray3604/1,Best Tutorial link - click to view,Article link-click to view,,
,Next permutation,https://leetcode.com/problems/next-permutation/,Best Tutorial link - click to view,Article link-click to view,,
,Seive of eranthoses(Popular algo for prime numbers),https://www.geeksforgeeks.org/problems/sieve-of-eratosthenes5242/1,Best Tutorial link - click to view,Article link-click to view,,
Time and space complexity,"https://youtu.be/FPu9Uld7W-E?si=s_d6cjdb6UtlVg16 - After learning this, make sure to learn time and space complexity for all the problems moving forward",,,,,
Matrix - Data structure,"Once you learn this, in many advanced topics like graphs, DP, backtracking, this is super imp. This section is to learn 2D array and to get grip on basics",,,,,
Traversal & Basic & Must solve,,,,,,
,What is a 2D Array? How to access element?,,Best Tutorial link - click to view,Article link-click to view,,
,Search in a matrix,https://leetcode.com/problems/search-a-2d-matrix/,Best Tutorial link - click to view,Article link-click to view,,
,Rotate by 90 degree,https://www.geeksforgeeks.org/problems/rotate-by-90-degree-1587115621/1,Best Tutorial link - click to view,Article link-click to view,,
,Maximum num of 1's row,https://www.geeksforgeeks.org/problems/row-with-minimum-number-of-1s5430/1?itm_source=geeksforgeeks&itm_medium=Article&itm_campaign=bottom_sticky_on_Article,Best Tutorial link - click to view,Article link-click to view,,
,Left rotate matrix k times,https://practice.geeksforgeeks.org/problems/left-rotate-matrix-k-times2351/1,Best Tutorial link - click to view,Article link-click to view,,
,Print matrix in diagonal pattern,https://www.geeksforgeeks.org/problems/print-matrix-in-diagonal-pattern/1?itm_source=geeksforgeeks&itm_medium=Article&itm_campaign=bottom_sticky_on_Article,Best Tutorial link - click to view,Article link-click to view,,
,Set matrix zeros,https://leetcode.com/problems/set-matrix-zeroes/,Best Tutorial link - click to view,Article link-click to view,,
Recursion - Technique,Recursion is super important concept!! Lets first understand the basics of recursion in this section before moving forward,,,,,
Basics,Understand what recursion is and how it works(Draw the recursive tree for every recursive prob you solve),,Best Tutorial link - click to view,Article link-click to view,,
,Print 1 to N using recursion,https://www.geeksforgeeks.org/problems/print-1-to-n-without-using-loops-1587115620/1,Best Tutorial link - click to view,Article link-click to view,,
,Factorial of N numbers,https://practice.geeksforgeeks.org/problems/factorial5739/1,Best Tutorial link - click to view,Article link-click to view,,
,Fibonacci series using recursion,https://www.geeksforgeeks.org/problems/nth-fibonacci-number1335/1?itm_source=geeksforgeeks&itm_medium=Article&itm_campaign=bottom_sticky_on_Article,Best Tutorial link - click to view,Article link-click to view,,
,"Power(x,n) Draw the recursion tree for all the probs for sure",https://www.geeksforgeeks.org/problems/power-of-numbers-1587115620/1?itm_source=geeksforgeeks&itm_medium=Article&itm_campaign=bottom_sticky_on_Article,Best Tutorial link - click to view,Article link-click to view,,
,Print pattern,https://www.geeksforgeeks.org/problems/print-pattern3549/1?page=1&category=Recursion&difficulty=Easy&sortBy=submissions,Best Tutorial link - click to view,Article link -click to view,,
,Recursive implementation of atoi,https://practice.geeksforgeeks.org/problems/implement-atoi/1?utm_source=geeksforgeeks&utm_medium=ml_Article_practice_tab&utm_campaign=Article_practice_tab,Best Tutorial link - click to view,Article link -click to view,,
,Pascal triangle,https://www.geeksforgeeks.org/problems/pascal-triangle0652/1?page=1&category=Recursion&difficulty=Easy&sortBy=submissions,Best Tutorial link - click to view,Article link -click to view,,
Binary Search - Algo,https://leetcode.com/discuss/general-discussion/691825/Binary-Search-for-Beginners-Problems-or-Patterns-or-Sample-solutions,,,,,
Basic pattern,,,,,,
,Search in a sorted array(Efficiently -> So learn binary search for this),https://www.geeksforgeeks.org/problems/who-will-win-1587115621/1?page=1&category=Binary%20Search&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Find floor and ceil in sorted array,https://www.geeksforgeeks.org/problems/floor-in-a-sorted-array-1587115620/1,Best Tutorial link - click to view,Article link-click to view,,
,Find first and last occurence of element in sorted array,https://www.geeksforgeeks.org/problems/first-and-last-occurrences-of-x3116/1?page=1&category=Binary%20Search&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Find missing num from 1 to N,https://leetcode.com/problems/missing-number/,Best Tutorial link - click to view,Article link-click to view,,
,Find square root,https://www.geeksforgeeks.org/problems/square-root/1?itm_source=geeksforgeeks&itm_medium=Article&itm_campaign=bottom_sticky_on_Article,Best Tutorial link - click to view,Article link-click to view,,
,Search for element in infinite array,https://www.codingninjas.com/studio/problems/search-in-infinite-sorted-0-1-array_696193,Best Tutorial link - click to view,Article link-click to view,,
Sorted rotated array,,,,,,
,Search element in sorted rotated array(With and without duplicate),https://leetcode.com/problems/search-in-rotated-sorted-array-ii/,Best Tutorial link - click to view,Article link click to view,,
,"Minimum element in sorted rotated array(With and without duplicate)A twist in normal BS is needed, once you learnt this, solve the below by yourself,even try to solve this also by yourself",https://www.geeksforgeeks.org/problems/minimum-number-in-a-sorted-rotated-array-1587115620/1?page=1&category=Binary%20Search&sortBy=submissions,Best Tutorial link - click to view,Article link click to view,,
,Number of times array is sorted,https://www.geeksforgeeks.org/problems/rotation4723/1?itm_source=geeksforgeeks&itm_medium=Article&itm_campaign=bottom_sticky_on_Article,Best Tutorial link - click to view,Article link click to view,,
,Maximum element in sorted rotated array,,Best Tutorial link - click to view,Article link click to view,,
Biotonic array,,,,,,
,Find the peak element,https://www.geeksforgeeks.org/problems/peak-element/1?page=1&category=Arrays&difficulty=Medium&status=solved&sortBy=submissions,Best Tutorial link - click to view,Article link click to view,,
,Search element in biotonic array,https://www.interviewbit.com/problems/search-in-bitonic-array/,Best Tutorial link - click to view,Article link click to view,,
Matrix,,,,,,
,Find row with maximum number of 1's,https://www.geeksforgeeks.org/problems/binary-matrix-having-maximum-number-of-1s--170647/1?page=2&category=Binary%20Search&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Search in row wise column wise sorted matrix,https://www.geeksforgeeks.org/problems/search-in-a-matrix-1587115621/1?itm_source=geeksforgeeks&itm_medium=Article&itm_campaign=bottom_sticky_on_Article,Best Tutorial link - click to view,Article link-click to view,,
,Search in sorted matrix II,https://leetcode.com/problems/search-a-2d-matrix-ii/,Best Tutorial link - click to view,Article link-click to view,,
,Find peak in sorted matrix,https://leetcode.com/problems/find-a-peak-element-ii/,Best Tutorial link - click to view,Article link-click to view,,
Application(Super imp),,,,Article link-click to view,,
,Aggressive cows,https://www.geeksforgeeks.org/problems/aggressive-cows/1?page=1&category=Binary%20Search&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Allocate minimum pages,https://www.geeksforgeeks.org/problems/allocate-minimum-number-of-pages0937/1?itm_source=geeksforgeeks&itm_medium=Article&itm_campaign=bottom_sticky_on_Article,Best Tutorial link - click to view,Article link-click to view,,
,Painter partition,https://www.geeksforgeeks.org/problems/the-painters-partition-problem1535/1?page=1&category=Binary%20Search&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Split array largest sum,https://www.geeksforgeeks.org/problems/split-array-largest-sum--141634/1?page=2&category=Binary%20Search&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Minimum num of days to make m bouquets,https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets/,Best Tutorial link - click to view,Article link-click to view,,
,Capacity to ship packages within D days,https://www.geeksforgeeks.org/problems/capacity-to-ship-packages-within-d-days/1?page=2&category=Binary%20Search&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,koko eating bananas,https://leetcode.com/problems/koko-eating-bananas/,Best Tutorial link - click to view,Article link-click to view,,
,kth smallest number in matrix multiplication table,https://leetcode.com/problems/kth-smallest-number-in-multiplication-table/,Best Tutorial link - click to view,Article link-click to view,,
,kth smallest pair distance,https://leetcode.com/problems/find-k-th-smallest-pair-distance/,Best Tutorial link - click to view,Article link-click to view,,
,Ugly number II,https://leetcode.com/problems/ugly-number-ii/,Best Tutorial link - click to view,Article link-click to view,,
,Median of 2 sorted arrays,Median of 2 Sorted Arrays of Different Sizes | Practice | GeeksforGeeks,Best Tutorial link - click to view,Article link-click to view,,
,Find smallest divisor given threshold,Find the Smallest Divisor Given a Threshold - LeetCode,Best Tutorial link - click to view,Article link-click to view,,
Sorting - Algo,"Make sure to completely understand the algo thoroughly, and time & space complexity",,,,,
Basics,Bubble sort(very basic sorting technique),https://www.geeksforgeeks.org/problems/bubble-sort/1?itm_source=geeksforgeeks&itm_medium=Article&itm_campaign=bottom_sticky_on_Article,Best Tutorial link - click to view,Article link-click to view,,
,Selection sort,https://www.geeksforgeeks.org/problems/selection-sort/1?itm_source=geeksforgeeks&itm_medium=Article&itm_campaign=bottom_sticky_on_Article,Best Tutorial link - click to view,Article link-click to view,,
,Insertion sort,https://www.geeksforgeeks.org/problems/insertion-sort/1?itm_source=geeksforgeeks&itm_medium=Article&itm_campaign=bottom_sticky_on_Article,Best Tutorial link - click to view,Article link-click to view,,
,Merge sort,https://www.geeksforgeeks.org/problems/merge-sort/1?itm_source=geeksforgeeks&itm_medium=Article&itm_campaign=bottom_sticky_on_Article,Best Tutorial link - click to view,Article link-click to view,,
,Quick sort,https://www.geeksforgeeks.org/problems/quick-sort/1?itm_source=geeksforgeeks&itm_medium=Article&itm_campaign=bottom_sticky_on_Article,Best Tutorial link - click to view,Article link-click to view,,
LinkedList - Data structure,,,,,,
Basic patterns,Completely understand how Node in linkedList is represented and then go ahead with the patterns,,Best Tutorial link - click to view,Article link-click to view,,
,"Create, Insert, Delete Operations in LL",,Best Tutorial link - click to view,Article link-click to view,,
,"Search for an element in LL(Once create, insert is done, this should be easy)",https://www.geeksforgeeks.org/problems/search-in-linked-list-1664434326/1,Best Tutorial link - click to view,Article link-click to view,,
,"Reverse a LL(Learn the O space approach, learn recursive & iterative soln)",https://www.geeksforgeeks.org/problems/reverse-a-linked-list/1?page=1&category=Linked%20List&sortBy=submissions,Best Tutorial link - click to view,Article link - click to view,,
,"Check if LL is a Palindrome(Once reversing is learnt, this should be easy)",https://www.geeksforgeeks.org/problems/check-if-linked-list-is-pallindrome/1?page=1&category=Linked%20List&sortBy=submissions,Best Tutorial link - click to view,Article link - click to view,,
,Middle element of LL (Learn efficient approach),https://www.geeksforgeeks.org/problems/insert-in-middle-of-linked-list/1?page=2&category=Linked%20List&sortBy=submissions,Best Tutorial link - click to view,Article link - click to view,,
,"Find the intersection point of Y LL(Once you know traversal, apply node logic to solve this)",https://www.geeksforgeeks.org/problems/intersection-point-in-y-shapped-linked-lists/1?page=1&category=Linked%20List&sortBy=submissions,Best Tutorial link - click to view,Article link - click to view,,
,Union and Intersection of LL,https://www.geeksforgeeks.org/problems/union-of-two-linked-list/1?itm_source=geeksforgeeks&itm_medium=Article&itm_campaign=bottom_sticky_on_Article,Best Tutorial link - click to view,Article link - click to view,,
,Delete without head pointer,https://www.geeksforgeeks.org/problems/delete-without-head-pointer/1?page=1&category=Linked%20List&sortBy=submissions,Best Tutorial link - click to view,Article link - click to view,,
,Count pairs with given sum,https://www.geeksforgeeks.org/problems/count-pairs-whose-sum-is-equal-to-x/1?page=2&category=Linked%20List&sortBy=submissions,Best Tutorial link - click to view,Article link - click to view,,
,"Reverse LL in groups of given size(Once you learn reverse of LL's efficient approach, you can try this)",https://www.geeksforgeeks.org/problems/reverse-a-linked-list-in-groups-of-given-size/1?page=1&category=Linked%20List&sortBy=submissions,Best Tutorial link - click to view,Article link - click to view,,
Loop,,,,,,
,"Detect loop in LL(Once this is learnt, all the loop pattern probs below should be easy)",https://www.geeksforgeeks.org/problems/detect-loop-in-linked-list/1?page=1&category=Linked%20List&sortBy=submissions,Best Tutorial link - click to view,Article link - click to view,,
,Find length of loop in LL,https://www.geeksforgeeks.org/problems/find-length-of-loop/1?page=1&category=Linked%20List&difficulty=Easy&sortBy=submissions,Best Tutorial link - click to view,Article link - click to view,,
,Find the starting point of loop,https://www.geeksforgeeks.org/problems/find-the-first-node-of-loop-in-linked-list--170645/1,Best Tutorial link - click to view,Article link - click to view,,
,Remove the loop,https://www.geeksforgeeks.org/problems/remove-loop-in-linked-list/1?page=1&category=Linked%20List&sortBy=submissions,Best Tutorial link - click to view,Article link - click to view,,
"Sorting, Merging & Related",,,,,,
,"Sort 0s, 1s, 2s in LL",https://www.geeksforgeeks.org/problems/given-a-linked-list-of-0s-1s-and-2s-sort-it/1?page=1&category=Linked%20List&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
