,,,,,,
,Insert interval,https://leetcode.com/problems/insert-interval/,Best Tutorial link - click to view,Article link-click to view,,
,Merge interval,https://leetcode.com/problems/merge-intervals/,Best Tutorial link - click to view,Article link-click to view,,
,Non overlapping interval,https://leetcode.com/problems/non-overlapping-intervals/,Best Tutorial link - click to view,Article link-click to view,,
,Minimum cost of ropes,https://practice.geeksforgeeks.org/problems/minimum-cost-of-ropes-1587115620/1,Best Tutorial link - click to view,Article link-click to view,,
,Partition labels,https://leetcode.com/problems/partition-labels/,Best Tutorial link - click to view,Article link-click to view,,
,Cinema seat allocation,https://leetcode.com/problems/cinema-seat-allocation/,Best Tutorial link - click to view,Article link-click to view,,
,Max length chain,https://www.geeksforgeeks.org/problems/max-length-chain/1?page=1&category=Greedy&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Valid parantheses - Minimum,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid/,Best Tutorial link - click to view,Article link-click to view,,
,Shortest job first,https://practice.geeksforgeeks.org/problems/shortest-job-first/1,Best Tutorial link - click to view,Article link-click to view,,
,Least recently used, https://practice.geeksforgeeks.org/problems/lru-cache/1?utm_source=youtube&utm_medium=collab_fraz_websitelink&utm_campaign=LRU+Cache,Best Tutorial link - click to view,Article link-click to view,,
Dynamic Programming - Technique,"DP is super crucial topic and very commonly asked in many interviews!! One major thing you need to know is, dont start with tabulation approach directly, thats wrong way to learn DP. First find the solution using recursion, then memoization and then finally tabulation and space reduction in tabulation.",https://leetcode.com/discuss/general-discussion/662866/dp-for-beginners-problems-patterns-sample-solutions,,,,
Basic,,,,,,
,Understand the basics!!,,Best Tutorial link - click to view,Article link-click to view,,
1D - Linear DP,,,,,,
,Count num of hops,https://www.geeksforgeeks.org/problems/count-number-of-hops-1587115620/1?page=2&category=Dynamic%20Programming&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Count way to reach nth stair(Order matters),https://www.geeksforgeeks.org/problems/count-ways-to-reach-the-nth-stair-1587115620/1?page=2&category=Dynamic%20Programming&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Count way to reach nth stair(Order doesn't matter),https://www.geeksforgeeks.org/problems/count-ways-to-nth-stairorder-does-not-matter5639/1?page=4&category=Dynamic%20Programming&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,House robber,https://leetcode.com/problems/house-robber/,,Article link-click to view,,
,House robber II,https://leetcode.com/problems/house-robber-ii/,Best Tutorial link - click to view,Article link-click to view,,
2D Grid DP,,,,Article link-click to view,,
,Count paths - grid,https://www.geeksforgeeks.org/problems/count-the-paths4332/1?page=5&category=Dynamic%20Programming&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Unique paths II,https://leetcode.com/problems/unique-paths-ii/,Best Tutorial link - click to view,Article link-click to view,,
,Count all possible paths with condition(You can solve this by yourself once above two are solved),https://www.geeksforgeeks.org/problems/count-all-possible-paths-from-top-left-to-bottom-right3011/1?page=3&category=Dynamic%20Programming&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Minimum path sum in grid,https://leetcode.com/problems/minimum-path-sum/,Best Tutorial link - click to view,Article link-click to view,,
,Max path sum ,https://www.geeksforgeeks.org/problems/path-in-matrix3805/1?page=2&category=Dynamic%20Programming&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Minimum path sum in triangular grid,https://leetcode.com/problems/triangle/,Best Tutorial link - click to view,Article link-click to view,,
,Number of paths with k coins,https://www.geeksforgeeks.org/problems/number-of-paths-in-a-matrix-with-k-coins2728/1?page=7&category=Dynamic%20Programming&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Minimum/Maximum falling path sum,https://leetcode.com/problems/minimum-falling-path-sum,Best Tutorial link - click to view,Article link-click to view,,
,Minimum falling path sum II,https://leetcode.com/problems/minimum-falling-path-sum-ii,Best Tutorial link - click to view,Article link-click to view,,
DP on subsequence,,,,,,
,Subset sum problem,https://www.geeksforgeeks.org/problems/subset-sum-problem-1611555638/1?page=1&category=Dynamic%20Programming&status=solved&sortBy=submissions,Best Tutorial link - click to view,Article link - click to view,,
,Count subset with given sum k,https://www.geeksforgeeks.org/problems/perfect-sum-problem5633/1?page=1&category=Dynamic%20Programming&sortBy=submissions,Best Tutorial link - click to view,Article link - click to view,,
,"Partition equal subset sum(Try to do it on own after solving above two, just a small trick)",https://www.geeksforgeeks.org/problems/subset-sum-problem2014/1?page=1&category=Dynamic%20Programming&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Minimum sum partition,https://www.geeksforgeeks.org/problems/minimum-sum-partition3317/1?page=2&category=Dynamic%20Programming&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Count partition with given diff,,Best Tutorial link - click to view,Article link-click to view,,
,0-1 Knapsack,https://www.geeksforgeeks.org/problems/0-1-knapsack-problem0945/1?page=1&category=Dynamic%20Programming&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Maximum non adjacent subsequence,https://www.geeksforgeeks.org/problems/max-sum-without-adjacents2430/1?page=3&category=Dynamic%20Programming&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Coin change,https://www.geeksforgeeks.org/problems/coin-change2448/1?page=1&category=Dynamic%20Programming&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Min number of coins,https://www.geeksforgeeks.org/problems/number-of-coins1824/1?page=2&category=Dynamic%20Programming&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Rod cutting,https://www.geeksforgeeks.org/problems/rod-cutting0840/1?page=2&category=Dynamic%20Programming&status=solved&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Target sum,https://leetcode.com/problems/target-sum,Best Tutorial link - click to view,,,
,Minimum cost to fill given weight in bag(Solving the above probs in this pattern will make this super easy), https://www.geeksforgeeks.org/problems/minimum-cost-to-fill-given-weight-in-a-bag1956/1?page=3&category=Dynamic%20Programming&status=solved&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Knapsack with duplication items,https://www.geeksforgeeks.org/problems/knapsack-with-duplicate-items4201/1?page=2&category=Dynamic%20Programming&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
DP on Increasing subsequence,,,,Article link-click to view,,
,Longest increasing subsequence,https://leetcode.com/problems/longest-increasing-subsequence/,Best Tutorial link - click to view,Article link-click to view,,
,Print longest increasing subsequence,,Best Tutorial link - click to view,Article link-click to view,,
,"Longest bitonic subsequence(Solve on own, definitely you can do it once the above two are solved)",https://www.geeksforgeeks.org/problems/longest-bitonic-subsequence0824/1?page=4&category=Dynamic%20Programming&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,"Longest divisible subset(This and the below are just extended version of longest increasing subsequence, so try on own",https://leetcode.com/problems/largest-divisible-subset/,Best Tutorial link - click to view,Article link-click to view,,
,Longest string chain,https://leetcode.com/problems/longest-string-chain/,Best Tutorial link - click to view,Article link-click to view,,
,Num of longest increasing subsequence,https://leetcode.com/problems/number-of-longest-increasing-subsequence/,Best Tutorial link - click to view,Article link-click to view,,
DP on strings(Using Longest common subsequence pattern),,,,,,
,"Longest common subsequence(Once you learn this pattern, all probs under this pattern can be solved by yourself)",https://www.geeksforgeeks.org/problems/longest-common-subsequence-1587115620/1?page=1&category=Dynamic%20Programming&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Print Longest common subsequence(Here you will need to print the string so must solve),https://www.geeksforgeeks.org/problems/print-all-lcs-sequences3413/1?page=7&category=Dynamic%20Programming&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Longest palindromic subsequence,https://leetcode.com/problems/longest-palindromic-subsequence,Best Tutorial link - click to view,Article link-click to view,,
,Form a palindrome with minimum insertions,https://leetcode.com/problems/minimum-insertion-steps-to-make-a-string-palindrome,Best Tutorial link - click to view,Article link-click to view,,
,Min num of deletions and insertions to make string s1 equal to s2,https://www.geeksforgeeks.org/problems/minimum-number-of-deletions-and-insertions0209/1?page=4&category=Dynamic%20Programming&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Shortest common supersequence,https://www.geeksforgeeks.org/problems/shortest-common-supersequence0322/1?page=2&category=Dynamic%20Programming&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Longest common substring/subarray,https://www.geeksforgeeks.org/problems/longest-common-substring1452/1?page=1&category=Dynamic%20Programming&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Longest palindromic substring,https://www.geeksforgeeks.org/problems/longest-palindrome-in-a-string3411/1?page=1&category=Dynamic%20Programming&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Longest repeating subsequence,https://www.geeksforgeeks.org/problems/longest-repeating-subsequence2004/1?page=2&category=Dynamic%20Programming&status=solved&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
DP on string, ,,,,,
,"Edit distance (All the probs in this pattern are super imp, each prob is different so do solve all)",https://www.geeksforgeeks.org/problems/edit-distance3702/1?page=1&category=Dynamic%20Programming&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Distinct occurence,https://www.geeksforgeeks.org/problems/distinct-occurrences/1?page=3&category=Dynamic%20Programming&status=solved&sortBy=submissions,Best Tutorial link - click to view,,,
,Wildcard pattern matching,https://www.geeksforgeeks.org/problems/wildcard-pattern-matching/1?page=4&category=Dynamic%20Programming&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Longest valid parentheses,https://www.geeksforgeeks.org/problems/longest-valid-parentheses5657/1?page=3&category=Dynamic%20Programming&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Word break,https://www.geeksforgeeks.org/problems/word-break1352/1?page=3&category=Dynamic%20Programming&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Word break II,https://www.geeksforgeeks.org/problems/word-break-part-23249/1?page=5&category=Dynamic%20Programming&sortBy=submissions,,Article link-click to view,,
,Word wrap,https://www.geeksforgeeks.org/problems/word-wrap1646/1?page=4&category=Dynamic%20Programming&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Interleaved strings,https://www.geeksforgeeks.org/problems/interleaved-strings/1?page=3&category=Dynamic%20Programming&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
"DP on stocks(Was asked in one of my interview too, so dont miss any ques from this pattern)",,,,,,
,Best time to buy and sell stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Best Tutorial link - click to view,Article link-click to view,,
,"Best time to buy and sell stock II(Once you solve the above prob, all probs in this pattern are extended versions, so you can solve by yourself)",https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/,Best Tutorial link - click to view,Article link-click to view,,
,Best time to buy and sell stock III,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/,Best Tutorial link - click to view,Article link-click to view,,
,Best time to buy and sell stock IV,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv/,Best Tutorial link - click to view,Article link-click to view,,
,Best time to buy and sell stock with cooldown,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown/,Best Tutorial link - click to view,Article link-click to view,,
,Best time to buy and sell stock with transaction fee,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee/,Best Tutorial link - click to view,Article link-click to view,,
DP on partition and MCM,,,,,,
,"Matrix chain multiplication(Quite tricky pattern, every prob is diff and teaches something so do solve all)",https://www.geeksforgeeks.org/problems/matrix-chain-multiplication0303/1?page=2&category=Dynamic%20Programming&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Minimum cost to cut stick,https://leetcode.com/problems/minimum-cost-to-cut-a-stick/,Best Tutorial link - click to view,Article link-click to view,,
,Burst balloons,https://www.geeksforgeeks.org/problems/burst-balloons/1?page=8&category=Dynamic%20Programming&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Boolean Parenthesization,https://www.geeksforgeeks.org/problems/boolean-parenthesization5610/1?page=3&category=Dynamic%20Programming&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Palindrom partitioning,https://www.geeksforgeeks.org/problems/palindromic-patitioning4845/1?page=2&category=Dynamic%20Programming&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Partition array for max sum,https://leetcode.com/problems/partition-array-for-maximum-sum/,Best Tutorial link - click to view,Article link-click to view,,
,Max rectangles area with all 1s,https://www.geeksforgeeks.org/problems/max-rectangle/1?page=3&category=Dynamic%20Programming&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Count square submatrices,https://leetcode.com/problems/count-square-submatrices-with-all-ones/,Best Tutorial link - click to view,Article link-click to view,,
Heaps - Data structure,,,,,,
Basic patterns,,,,,,
,What is heap? Understand the data structure,,Best Tutorial link - click to view,Article link-click to view,,
,Min heap implementation,Min Heap Implementation - Coding Ninjas,Best Tutorial link - click to view,Article link-click to view,,
,Max heap implementation,https://www.gatevidyalay.com/tag/max-heap-questions/,Best Tutorial link - click to view,Article link-click to view,,
,Convert min heap to max heap,https://www.geeksforgeeks.org/problems/convert-min-heap-to-max-heap-1666385109/1,Best Tutorial link - click to view,Article link-click to view,,
Top k pattern,,,,,,
,kth largest in array,https://www.geeksforgeeks.org/problems/k-largest-elements4206/1?page=1&category=Heap&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,kth smallest in array,,Best Tutorial link - click to view,Article link-click to view,,
,Top k frequent elements,https://leetcode.com/problems/top-k-frequent-elements/,Best Tutorial link - click to view,Article link-click to view,,
,Top k frequent words,https://leetcode.com/problems/top-k-frequent-words,Best Tutorial link - click to view,Article link-click to view,,
,Frequency sort,https://leetcode.com/problems/sort-characters-by-frequency/,Best Tutorial link - click to view,Article link-click to view,,
,kth largest num in streams,https://www.geeksforgeeks.org/problems/kth-largest-element-in-a-stream2220/1?page=1&category=Heap&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Reorganize string,https://leetcode.com/problems/reorganize-string/,Best Tutorial link - click to view,Article link-click to view,,
,Reorganize string k distance apart,https://leetcode.com/problems/rearrange-string-k-distance-apart,Best Tutorial link - click to view,Article link-click to view,,
,kth smallest sum of matrix,https://leetcode.com/problems/find-the-kth-smallest-sum-of-a-matrix-with-sorted-rows/,Best Tutorial link - click to view,Article link-click to view,,
,ugly num II,https://leetcode.com/problems/ugly-number-ii/,Best Tutorial link - click to view,Article link-click to view,,
Merge k sorted pattern,,,,,,
,Merge k sorted array,https://practice.geeksforgeeks.org/problems/merge-k-sorted-arrays/1,Best Tutorial link - click to view,Article link-click to view,,
,k pairs with smallest sum,https://leetcode.com/problems/find-k-pairs-with-smallest-sums/,Best Tutorial link - click to view,Article link-click to view,,
,k smallest nums in M sorted list,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/,Best Tutorial link - click to view,Article link-click to view,,
Two heaps pattern,,,,,,
,Find median from data stream,https://www.geeksforgeeks.org/problems/find-median-in-a-stream-1587115620/1?page=1&category=Heap&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Sliding window median,https://leetcode.com/problems/sliding-window-median/,Best Tutorial link - click to view,Article link-click to view,,
,Maximum capital/IPO,https://leetcode.com/problems/ipo/,Best Tutorial link - click to view,Article link-click to view,,
Minimum number pattern,,,,,,
,Minimum cost to connect ropes,https://practice.geeksforgeeks.org/problems/minimum-cost-of-ropes-1587115620/1,Best Tutorial link - click to view,Article link-click to view,,
,Meeting room II,https://leetcode.com/problems/meeting-rooms-ii,Best Tutorial link - click to view,Article link-click to view,,
,Minimum cost to hire k workers,https://leetcode.com/problems/minimum-cost-to-hire-k-workers/,Best Tutorial link - click to view,Article link-click to view,,
,Minimum num of CPU,https://leetcode.com/problems/task-scheduler/,Best Tutorial link - click to view,Article link-click to view,,
,Minimum num of refueling stops,https://leetcode.com/problems/minimum-number-of-refueling-stops/,Best Tutorial link - click to view,Article link-click to view,,
Trie - Data structure,,,,,,
Basic and must solve,,,,,,
,Implement Trie from scratch,https://www.codingninjas.com/studio/problems/implement-trie_631356,Best Tutorial link - click to view,Article link-click to view,,
,"Word break (Do solve it using trie, though you had solved this already)",https://www.geeksforgeeks.org/problems/word-break-trie--141631/1?itm_source=geeksforgeeks&itm_medium=Article&itm_campaign=bottom_sticky_on_Article,Best Tutorial link - click to view,Article link-click to view,,
,Longest string with all prefixes,https://leetcode.com/problems/longest-common-prefix/,Best Tutorial link - click to view,Article link-click to view,,
,Maximum XOR of two numbers in array,https://www.geeksforgeeks.org/problems/maximum-xor-of-two-numbers-in-an-array/1?itm_source=geeksforgeeks&itm_medium=Article&itm_campaign=bottom_sticky_on_Article,Best Tutorial link - click to view,Article link-click to view,,
,Unique rows in boolean matrix,https://www.geeksforgeeks.org/problems/unique-rows-in-boolean-matrix/1?itm_source=geeksforgeeks&itm_medium=Article&itm_campaign=bottom_sticky_on_Article,Best Tutorial link - click to view,Article link-click to view,,
,Prefix match with other strings,https://www.geeksforgeeks.org/problems/prefix-match-with-other-strings/1,Best Tutorial link - click to view,Article link-click to view,,
String,"Most of the imp problems in strings involves diff techniques, algos which are already covered. In this section, we will focus on string specific imp probs and algos",,,,,
Must solve and Algos specific to string,,,,,,
,Implement Atoi,https://www.geeksforgeeks.org/problems/implement-atoi/1,Best Tutorial link - click to view,Article link-click to view,,
,Count and say,https://leetcode.com/problems/count-and-say/,Best Tutorial link - click to view,Article link-click to view,,
,Minimum bracket reversals,https://www.geeksforgeeks.org/problems/count-the-reversals0401/1?itm_source=geeksforgeeks&itm_medium=Article&itm_campaign=bottom_sticky_on_Article,Best Tutorial link - click to view,Article link-click to view,,
,"Rabin karp algo( Pattern searching, super imp, this was infact asked in one of my interview)",https://practice.geeksforgeeks.org/problems/search-pattern-rabin-karp-algorithm--141631/1,Best Tutorial link - click to view,Article link-click to view,,
,Boyer moor algo (Pattern searching),https://www.codingninjas.com/studio/problems/boyer-moore-algorithm-for-pattern-searching_1115634,Best Tutorial link - click to view,Article link-click to view,,
,"KMP algo ( Longest prefix suffix, super imp)",https://practice.geeksforgeeks.org/problems/longest-prefix-suffix2527/1,Best Tutorial link - click to view,Article link-click to view,,
,Longest happy prefix,https://www.geeksforgeeks.org/longest-prefix-also-suffix/,Best Tutorial link - click to view,Article link-click to view,,
,Remove all adjacent duplicates,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string/,Best Tutorial link - click to view,Article link-click to view,,
,Hashing in strings,https://www.geeksforgeeks.org/practice-problems-on-hashing/,Best Tutorial link - click to view,Article link-click to view,,
,Print all anagrams,https://leetcode.com/problems/group-anagrams/,Best Tutorial link - click to view,Article link-click to view,,
,Z - Function,https://practice.geeksforgeeks.org/problems/search-pattern-z-algorithm--141631/1,Best Tutorial link - click to view,Article link-click to view,,
,Shortest palindrome,Shortest Palindrome - LeetCode,Best Tutorial link - click to view,Article link-click to view,,
,Circle of strings,https://www.geeksforgeeks.org/problems/circle-of-strings4530/1,Best Tutorial link - click to view,Article link-click to view,,
,Roman numerals to decimals,https://www.geeksforgeeks.org/problems/roman-number-to-integer3201/1?itm_source=geeksforgeeks&itm_medium=Article&itm_campaign=bottom_sticky_on_Article,Best Tutorial link - click to view,Article link-click to view,,
,,,,,,
"There are couple of more topics, bit manipulation, segment trees and AVL trees which has limited number of probs, so do check that out if you have good amount of time still left",,,,,,
Checkout this for bit tricks - https://leetcode.com/discuss/general-discussion/1073221/All-about-Bitwise-Operations-Beginner-Intermediate,,,,,,
,,,,,,
,,,,,,
Leetcode Article for behavioural rounds ,https://leetcode.com/discuss/interview-experience/1532708/tips-for-answering-few-tricky-behavioural-interview-questions,,,,,
Leetcode Article for major patterns,https://leetcode.com/discuss/general-discussion/665604/Important-and-Useful-links-from-all-over-the-LeetCode,,,,,
Resume standard template ,https://www.overleaf.com/Articles/ravi-kukretis-resume/cxprrkxbccgb,,,,,
Try to solve atleast 5+ problems per day to master it at the earliest,,,,,,